shock,response,horizon,value,test,Acceptable if
D_FEDFUNDS,INF,15,-0.006911266089155488,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,16,-0.004846975373244744,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,17,-0.005047027672730103,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,18,-0.004785238770396744,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,19,-0.0035547017700368055,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,20,-0.0028102021370416674,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,21,-0.002498267436638335,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,22,-0.0022106570364478217,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,23,-0.0018687129869349173,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INF,24,-0.0014726217521457419,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,1,-0.38096286498070686,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,2,-0.8190181399693937,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,3,-0.6214033484938728,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,4,-0.5136154774217605,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,5,-0.42010770087798566,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,6,-0.3645894869314299,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,7,-0.3452205174629599,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,8,-0.32313831961465755,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,9,-0.3111987168361052,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,10,-0.2911237336903669,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,11,-0.24057244384619114,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,12,-0.2121321297480172,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,13,-0.19534562698095215,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,14,-0.17610103357537366,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,15,-0.16237784128477184,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,16,-0.14936717670049315,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,17,-0.13601774791342347,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,18,-0.12472277768308171,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,19,-0.11403663811901676,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,20,-0.10504557188102126,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,21,-0.09764559291184671,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,22,-0.09054947631121646,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,23,-0.0842090514572531,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,UNRATE,24,-0.07848010665804939,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,1,1.0557979901473127,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,2,0.6856814281664978,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,3,-0.3610356413874276,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,4,-0.3604240387280353,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,5,-0.018901173138737404,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,6,0.045652285522882585,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,7,-0.006629180525935863,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,8,-0.05727016638041493,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,9,0.010951487249077019,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,10,-0.05480101154134154,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,11,-0.0776443257059638,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,12,-0.038451923013749,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,13,-0.019276653167069613,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,14,-0.020960031063351314,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,15,-0.021679871394328698,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,16,-0.02423250459796522,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,17,-0.02077858597581539,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,18,-0.018491954992491344,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,19,-0.017641838962559442,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,20,-0.0147735048696509,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,21,-0.0134546242752962,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,22,-0.012795480771373713,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,23,-0.011767991661650212,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,INDPRO_GROWTH,24,-0.011135996103069257,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,1,-0.6807515862518462,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,2,-0.5026732092763724,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,3,-0.2980652184359569,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,4,-0.13728531737667785,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,5,0.0229789641241121,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,6,-0.05516740990352442,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,7,-0.10551854576828376,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,8,-0.08261922499572322,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,9,-0.07373673379830922,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,10,-0.04816275573093931,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,11,-0.027711421396334646,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,12,-0.02948074980507631,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,13,-0.025552039403119287,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,14,-0.025497658194059802,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,15,-0.024744720037414958,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,16,-0.019113739480660974,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,17,-0.01598677673024057,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,18,-0.013263296330531915,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,19,-0.010760285187853769,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,20,-0.010054664215845888,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,21,-0.008925977291720844,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,22,-0.007542549644843133,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,23,-0.00650561799425825,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
D_FEDFUNDS,M2_GROWTH,24,-0.0054383003151712295,VARX conditional scenario response to D_FEDFUNDS exogenous shock,"scenario responses are interpreted conditionally on supplied exogenous paths, not as structural IRFs"
