Acceptable if,response,shock,horizon,orthogonalized_response
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,10,0.018142645562619835
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,11,0.018092582347794716
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,12,0.01835672962668077
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,13,0.018662917088702765
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,14,0.018691374430318
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,15,0.018454211264648128
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,16,0.018068570637104486
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,17,0.017655631329769154
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,18,0.01726268895211512
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,19,0.016870942008581327
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,20,0.016458277843549373
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,21,0.01601178779695537
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,22,0.01553962497002934
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,23,0.0150598724206254
response paths are interpreted with Cholesky identification caveats and confidence bands,FEDFUNDS,SENTIMENT_CHANGE,24,0.014583098293659278
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,0,0.04829312451041316
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,1,0.06286490258084093
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,2,0.03501790013816634
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,3,-0.01815489927108411
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,4,-0.014741654096989035
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,5,-0.004799033684271427
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,6,-0.0009609529211015386
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,7,-0.0030221580278180188
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,8,-0.0051848044713000765
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,9,-0.007415183450453892
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,10,-0.008528609874449955
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,11,-0.008591032872619165
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,12,-0.00839051711293162
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,13,-0.008600960886415123
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,14,-0.008274858189272689
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,15,-0.008058792290620202
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,16,-0.008202675371604616
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,17,-0.008074742255246365
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,18,-0.007800129568572449
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,19,-0.00758554091577787
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,20,-0.007299517071947057
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,21,-0.006976902837491977
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,22,-0.006688137991396489
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,23,-0.006401384455334886
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,FEDFUNDS,24,-0.006098211622973834
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,0,0.23101225819781093
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,1,0.1065912891807171
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,2,0.00182731251611867
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,3,-0.005588635268143273
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,4,0.007658463090742191
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,5,0.0066814353091977
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,6,0.008058620004323743
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,7,0.007625401157678044
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,8,0.0050613980615020196
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,9,0.001983672262226981
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,10,0.0013615667767890166
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,11,0.001386592787161262
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,12,0.001096396018483436
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,13,0.0012592182770553356
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,14,0.0013697965059088625
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,15,0.001125663496632428
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,16,0.0008632260623073942
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,17,0.0007483019007657572
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,18,0.0007137797288545143
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,19,0.0006695497840917592
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,20,0.0006238323425461939
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,21,0.0005703015264077802
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,22,0.0004901683620478899
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,23,0.0004135750366205228
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INF,24,0.0003528604568515664
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,1,-0.00018646744886649657
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,2,-0.006964566188206107
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,3,-0.0038286302701282843
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,4,0.007069028837919208
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,5,-0.0014951417504016518
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,6,-0.0068065042561154246
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,7,-0.0028099700877077874
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,8,0.0011162550041701786
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,9,0.0012728905952289992
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,10,0.00028613787254800504
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,11,-2.977205037169346e-05
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,12,0.0006894650883236815
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,13,0.00017275171175090088
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,14,-4.019275072691277e-05
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,15,0.0005254957983887989
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,16,0.0006218205637040992
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,17,0.0005766873369304528
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,18,0.0007615102957971272
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,19,0.00084926356002851
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,20,0.0008545631874602816
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,21,0.0009189412714314129
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,22,0.0010083549637643757
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,23,0.0010767210193412477
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,UNRATE,24,0.0011373439482382627
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,1,0.010951949502373833
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,2,0.03802741848095897
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,3,0.02650233527618982
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,4,0.005281547175993291
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,5,-0.001354122492946172
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,6,0.004794257929065493
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,7,0.004290769084572726
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,8,-0.002023656737163642
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,9,0.0002288053363501567
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,10,-6.091430633323149e-05
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,11,-0.0023577265899258574
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,12,-0.0024260450974555327
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,13,-0.0022059581973813956
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,14,-0.002594131311256056
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,15,-0.0026892889654705136
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,16,-0.0025806262953041803
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,17,-0.0026251013044278513
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,18,-0.002744947015506676
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,19,-0.0027342734062500945
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,20,-0.002676539937980962
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,21,-0.0026276067988289724
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,22,-0.0025589264707491398
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,23,-0.002487416718443714
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,INDPRO_GROWTH,24,-0.0024196941790260965
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,0,0.0
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,1,-0.009185641182238122
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,2,0.02490202987927462
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,3,0.026441750707420227
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,4,-0.005916244814475013
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,5,0.0036268996685817918
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,6,0.005444914692244023
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,7,-0.001342397721914384
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,8,0.002067524507492131
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,9,0.004648554582739732
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,10,0.001993596175462997
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,11,0.0013159927118465134
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,12,0.0019120970552817366
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,13,0.0013043350156816433
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,14,0.000848038547399615
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,15,0.0010587594180526128
response paths are interpreted with Cholesky identification caveats and confidence bands,INF,M2_GROWTH,16,0.0009765853351877264
